Serial Number:20541928 --

Date Time - GMT +09:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2020-08-27 09:00:00,25.82,1364, , , , ,
2020-08-27 09:10:00,25.87,540, , , , ,
2020-08-27 09:20:00,25.78,984, , , , ,
2020-08-27 09:30:00,25.82,1051, , , , ,
2020-08-27 09:40:00,25.82,827, , , , ,
2020-08-27 09:50:00,25.78,627, , , , ,
2020-08-27 10:00:00,25.87,448, , , , ,
2020-08-27 10:10:00,25.82,390, , , , ,
2020-08-27 10:20:00,25.82,363, , , , ,
2020-08-27 10:30:00,25.82,188, , , , ,
2020-08-27 10:40:00,25.82,132, , , , ,
2020-08-27 10:50:00,25.82,221, , , , ,
2020-08-27 11:00:00,25.82,356, , , , ,
2020-08-27 11:10:00,25.87,620, , , , ,
2020-08-27 11:20:00,25.91,432, , , , ,
2020-08-27 11:30:00,25.91,1290, , , , ,
2020-08-27 11:40:00,25.95,2490, , , , ,
2020-08-27 11:50:00,26.04,3380, , , , ,
2020-08-27 12:00:00,25.99,3479, , , , ,
2020-08-27 12:10:00,26.04,6333, , , , ,
2020-08-27 12:20:00,26.08,8266, , , , ,
2020-08-27 12:30:00,26.17,8323, , , , ,
2020-08-27 12:40:00,26.12,6948, , , , ,
2020-08-27 12:50:00,26.08,5704, , , , ,
2020-08-27 13:00:00,26.08,5414, , , , ,
2020-08-27 13:10:00,26.04,3113, , , , ,
2020-08-27 13:20:00,25.95,2095, , , , ,
2020-08-27 13:30:00,25.99,2360, , , , ,
2020-08-27 13:40:00,26.04,3628, , , , ,
2020-08-27 13:50:00,26.04,4499, , , , ,
2020-08-27 14:00:00,26.12,5219, , , , ,
2020-08-27 14:10:00,26.12,4856, , , , ,
2020-08-27 14:20:00,26.12,4097, , , , ,
2020-08-27 14:30:00,26.04,2410, , , , ,
2020-08-27 14:40:00,26.08,4283, , , , ,
2020-08-27 14:50:00,26.08,4044, , , , ,
2020-08-27 15:00:00,26.08,3210, , , , ,
2020-08-27 15:10:00,26.12,3570, , , , ,
2020-08-27 15:20:00,26.04,2362, , , , ,
2020-08-27 15:30:00,26.04,2314, , , , ,
2020-08-27 15:40:00,26.04,3136, , , , ,
2020-08-27 15:50:00,26.12,3482, , , , ,
2020-08-27 16:00:00,26.12,3447, , , , ,
2020-08-27 16:10:00,26.12,3459, , , , ,
2020-08-27 16:20:00,26.17,2362, , , , ,
2020-08-27 16:30:00,26.12,3150, , , , ,
2020-08-27 16:40:00,26.17,3567, , , , ,
2020-08-27 16:50:00,26.12,3059, , , , ,
2020-08-27 17:00:00,26.12,2691, , , , ,
2020-08-27 17:10:00,26.12,3035, , , , ,
2020-08-27 17:20:00,26.12,2453, , , , ,
2020-08-27 17:30:00,26.04,1115, , , , ,
2020-08-27 17:40:00,26.04,1288, , , , ,
2020-08-27 17:50:00,26.12,1579, , , , ,
2020-08-27 18:00:00,26.08,960, , , , ,
2020-08-27 18:10:00,26.08,880, , , , ,
2020-08-27 18:20:00,26.04,708, , , , ,
2020-08-27 18:30:00,26.04,238, , , , ,
2020-08-27 18:40:00,26.04,348, , , , ,
2020-08-27 18:50:00,26.04,155, , , , ,
2020-08-27 19:00:00,26.04,26, , , , ,
2020-08-27 19:10:00,26.04,4, , , , ,
2020-08-27 19:20:00,26.04,0, , , , ,
2020-08-27 19:30:00,26.04,0, , , , ,
2020-08-27 19:40:00,26.04,0, , , , ,
2020-08-27 19:50:00,26.04,0, , , , ,
2020-08-27 20:00:00,25.99,0, , , , ,
2020-08-27 20:10:00,25.99,0, , , , ,
2020-08-27 20:20:00,25.91,0, , , , ,
2020-08-27 20:30:00,25.95,0, , , , ,
2020-08-27 20:40:00,25.95,0, , , , ,
2020-08-27 20:50:00,25.95,0, , , , ,
2020-08-27 21:00:00,25.91,0, , , , ,
2020-08-27 21:10:00,25.95,0, , , , ,
2020-08-27 21:20:00,25.87,0, , , , ,
2020-08-27 21:30:00,25.87,0, , , , ,
2020-08-27 21:40:00,25.91,0, , , , ,
2020-08-27 21:50:00,25.87,0, , , , ,
2020-08-27 22:00:00,25.95,0, , , , ,
2020-08-27 22:10:00,25.87,0, , , , ,
2020-08-27 22:20:00,25.91,0, , , , ,
2020-08-27 22:30:00,25.87,0, , , , ,
2020-08-27 22:40:00,25.87,0, , , , ,
2020-08-27 22:50:00,25.87,0, , , , ,
2020-08-27 23:00:00,25.87,0, , , , ,
2020-08-27 23:10:00,25.91,0, , , , ,
2020-08-27 23:20:00,25.87,0, , , , ,
2020-08-27 23:30:00,25.91,0, , , , ,
2020-08-27 23:40:00,25.91,0, , , , ,
2020-08-27 23:50:00,25.95,0, , , , ,
2020-08-28 00:00:00,25.91,0, , , , ,
2020-08-28 00:10:00,25.91,0, , , , ,
2020-08-28 00:20:00,25.87,0, , , , ,
2020-08-28 00:30:00,25.91,0, , , , ,
2020-08-28 00:40:00,25.95,0, , , , ,
2020-08-28 00:50:00,25.99,0, , , , ,
2020-08-28 01:00:00,25.99,0, , , , ,
2020-08-28 01:10:00,25.95,0, , , , ,
2020-08-28 01:20:00,25.95,0, , , , ,
2020-08-28 01:30:00,25.91,0, , , , ,
2020-08-28 01:40:00,25.95,0, , , , ,
2020-08-28 01:50:00,26.04,0, , , , ,
2020-08-28 02:00:00,25.99,0, , , , ,
2020-08-28 02:10:00,25.95,0, , , , ,
2020-08-28 02:20:00,25.91,0, , , , ,
2020-08-28 02:30:00,25.95,0, , , , ,
2020-08-28 02:40:00,25.91,0, , , , ,
2020-08-28 02:50:00,25.95,0, , , , ,
2020-08-28 03:00:00,25.99,0, , , , ,
2020-08-28 03:10:00,25.99,0, , , , ,
2020-08-28 03:20:00,26.04,0, , , , ,
2020-08-28 03:30:00,25.95,0, , , , ,
2020-08-28 03:40:00,26.04,0, , , , ,
2020-08-28 03:50:00,25.91,0, , , , ,
2020-08-28 04:00:00,26.04,0, , , , ,
2020-08-28 04:10:00,25.95,0, , , , ,
2020-08-28 04:20:00,25.95,0, , , , ,
2020-08-28 04:30:00,26.04,0, , , , ,
2020-08-28 04:40:00,25.95,0, , , , ,
2020-08-28 04:50:00,25.99,0, , , , ,
2020-08-28 05:00:00,25.99,0, , , , ,
2020-08-28 05:10:00,25.95,0, , , , ,
2020-08-28 05:20:00,25.99,0, , , , ,
2020-08-28 05:30:00,25.99,0, , , , ,
2020-08-28 05:40:00,25.99,7, , , , ,
2020-08-28 05:50:00,26.04,48, , , , ,
2020-08-28 06:00:00,26.04,122, , , , ,
2020-08-28 06:10:00,26.04,207, , , , ,
2020-08-28 06:20:00,26.04,302, , , , ,
2020-08-28 06:30:00,26.04,513, , , , ,
2020-08-28 06:40:00,25.99,666, , , , ,
2020-08-28 06:50:00,25.99,864, , , , ,
2020-08-28 07:00:00,25.99,788, , , , ,
2020-08-28 07:10:00,26.04,1080, , , , ,
2020-08-28 07:20:00,26.08,558, , , , ,
2020-08-28 07:30:00,26.04,520, , , , ,
2020-08-28 07:40:00,26.04,390, , , , ,
2020-08-28 07:50:00,26.04,387, , , , ,
2020-08-28 08:00:00,26.04,352, , , , ,
2020-08-28 08:10:00,25.99,361, , , , ,
2020-08-28 08:20:00,26.04,313, , , , ,
2020-08-28 08:30:00,25.99,351, , , , ,
2020-08-28 08:40:00,26.08,391, , , , ,
2020-08-28 08:50:00,26.04,494, , , , ,
2020-08-28 09:00:00,26.04,596, , , , ,
2020-08-28 09:10:00,26.04,683, , , , ,
2020-08-28 09:20:00,26.08,674, , , , ,
