Sample ID,Subplot,Coreplot,Location,Fertilizer ,Weeding,Fertilizer weeding,Sampling_date,Template,Shannon index,N,C,pH,Na,K,Ca,Mg,Mn,Fe,Al,S,P
d_OM1cha,OM1cha,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.64,0.08,1.1,4.92,-0.004,0.013,0.168,0.104,0.012,3.427,22.514,0.063,0.059
d_OM1chb,OM1chb,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.61,0.08,1.04,4.76,0.017,0.031,0.354,0.136,0.014,3.874,28.845,0.068,0.169
d_OM1chc,OM1chc,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.78,0.08,0.96,5.17,-0.005,0.013,0.555,0.087,0.018,2.158,15.19,0.07,0.224
d_OM1chd,OM1chd,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.71,0.07,0.84,4.91,0.005,0.017,0.204,0.131,0.015,3.981,28.822,0.078,0.095
d_OM1che,OM1che,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.36,0.06,0.96,4.86,0.003,0.012,0.244,0.116,0.013,3.839,26.87,0.064,0.077
d_OM1cwa,OM1cwa,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.69,0.07,0.96,5.25,0.104,0.03,0.121,0.12,0.017,4.536,27.381,0.073,0.051
d_OM1cwb,OM1cwb,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.9,0.06,0.7,4.95,-0.009,0.009,0.223,0.101,0.012,3.418,20.537,0.056,0.056
d_OM1cwc,OM1cwc,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.57,0.07,0.74,5.17,-0.008,0.014,0.232,0.125,0.013,3.038,19.388,0.059,0.069
d_OM1cwd,OM1cwd,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.4,0.12,1.85,4.89,0.011,0.022,0.195,0.143,0.017,4.474,31.181,0.102,0.068
d_OM1cwe,OM1cwe,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.8,0.06,0.78,5.51,0,0.01,0.297,0.111,0.016,3.1,19.249,0.057,0.072
